1.696857	2.571319	ZAPAL
3.620016	4.520778	SWIATLO
5.644554	6.124522	W
7.787973	8.491488	KUCHNI
10.112201	11.016250	OTWORZ
12.005773	12.830924	DZRWI
14.145904	14.688334	DO
15.612108	16.506295	GARAZU
18.393292	19.297341	WLACZ
20.733958	21.766217	ZMYWARKE
23.643352	24.675612	WYLACZ
25.638835	26.621783	TELEWIZOR
28.567955	29.534466	PODNIES
30.310304	31.289965	ROLETY
32.476735	33.209836	W
34.051424	35.188882	SYPIALNI
37.141629	38.233063	ZAMKNIJ
39.304772	40.133210	BRAME
41.497502	42.473875	ZWIEKSZ
43.483123	44.617294	OGRZEWANIE
45.850088	46.284032	O
47.355741	48.203903	JEDEN
49.170414	50.127063	STOPIEN
51.363144	52.536765	ZAKREC
53.306028	54.242952	WODE
55.255487	55.794629	W
56.662516	57.767100	LAZIENCE
59.423976	60.298438	USTAW
60.985515	61.817241	ALARM
63.418230	64.506376	PRZYCISZ
65.058668	65.982442	RADIO
67.438783	68.332970	ZMIEN
68.960873	69.753149	KANAL
72.419272	73.195111	PODLEJ
74.128747	75.039371	KWIATKI
76.387226	77.472085	ZAPARZ
78.307098	78.981026	KAWE
79.977124	81.065270	WYLACZ
81.666874	82.419700	ALARM
83.044316	83.609758	W
84.471070	85.486892	GARAZU
86.575039	87.666473	ZAGOTUJ
88.698733	89.504158	WODE
