1.187130	1.988568	ZAPAL
2.955302	3.881965	SWIATLO
4.923834	5.339580	W
6.331359	6.907393	KUCHNI
8.745691	9.492030	OTWORZ
10.979699	11.665930	DZRZWI
12.998321	13.439112	DO
14.596188	15.332509	GARAZU
16.870268	17.521436	WLACZ
18.838800	19.810543	ZMYWARKE
20.947583	21.754030	WYLACZ
23.251717	24.158344	TELEWIZOR
25.996642	26.763017	PODNIES
28.210614	29.012052	ROLETY
30.765197	31.075755	W
32.322992	33.204574	SYPIALNI
34.742333	35.538762	ZAMKNIJ
37.266862	37.908013	BRAME
39.425736	40.237192	ZWIEKSZ
41.444357	42.315921	OGRZEWANIE
43.483015	43.738473	O
45.120954	45.727041	JEDEN
46.914171	47.655501	STOPIEN
49.543889	50.455525	ZAKREC
51.953212	52.654470	WODE
53.921744	54.177202	W
55.765051	56.711749	LAZIENCE
58.479922	59.121072	USTAW
60.633786	61.264918	ALARM
63.093199	63.854565	PRZYCISZ
65.161910	65.888213	RADIO
67.471053	68.137248	ZMIEN
69.755151	70.391293	KANAL
72.540148	73.221370	PODLEJ
74.643922	75.460387	KWIATKI
77.023191	77.819620	ZAPARZ
79.502640	80.143790	KAWE
81.651495	82.472969	WYLACZ
84.030764	84.742040	ALARM
85.854035	86.149565	W
87.507001	88.323466	GARAZU
90.317042	91.258732	ZAGOTUJ
92.936742	93.587911	WODE
